id;from_lat;from_long;to_lat;price
1;virtual convergence Highway;Iowa Camp;pink;52380
2;hacking Bolivia Refined;Awesome Metal Computer New Israeli Sheqel cross-platform;mobile Intranet pixel;77986
3;Technician;service-desk;Intelligent Course Oklahoma;38989
4;connecting Mississippi;Cambridgeshire orchid withdrawal;Balanced Directives;4219
5;Lao People's Democratic Republic HTTP;Money Market Account motivating Chips;AGP;40463
6;Monitored invoice Courts;Avon expedite Cheese;Factors envisioneer;99158
7;withdrawal;Integration Practical Plastic Pizza bypass;microchip;75820
8;Clothing;capacitor Grocery Ball;Silver;87832
9;extensible bypassing;Sports Avon Right-sized;deliverables Lao People's Democratic Republic;89294
10;paradigm Berkshire;microchip;static;81211
