id;amount;from_place;to_place;from_lat;from_long;to_lat
1;79596;Concrete program 24/365;Street ivory synthesize;Money Market Account Cambridgeshire;THX;Wooden Hat
2;76341;technologies;Fresh North Carolina Kansas;Administrator;Handcrafted Personal Loan Account;implement
3;37091;customized Focused Armenia;Car Facilitator;index Infrastructure input;Hill Ball;orange RAM
4;29229;Iowa maroon Plastic;withdrawal aggregate US Dollar;mobile Gourde US Dollar RSS;Implemented;User-friendly digital next-generation
5;17281;Diverse Persevering;Avon;RSS bottom-line;grow;RSS Austria niches
6;69849;EXE open-source;deposit synthesizing;fuchsia;synergistic;Buckinghamshire
7;82631;Rubber National ivory;incentivize Customer;Buckinghamshire;Flat;Hawaii synthesize
8;6085;Pre-emptive;Tasty Alley;Global deposit Pizza;Ergonomic Granite Hat Kansas Liaison;sensor magenta
9;83557;Interactions Handcrafted Rubber Sausages Bedfordshire;invoice;Hollow implementation;Tasty Facilitator firewall;Steel Awesome Distributed
10;35716;Frozen;engineer Tuna Practical;Wooden Soap Utah;analyzer;Soft Meadow Norfolk Island
